Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786827015,20,,Aggregated,11.200000,0.000000,99,140,180,210,320,440,570,900,1100,1300,1300,1035,0,99,148.48961579773106,18.55454093310982,1324.614292010665,3352.1159420289855
1786827016,20,,Aggregated,11.800000,0.000000,98,140,180,200,310,430,570,900,1100,1300,1300,1047,0,98,147.38934349796602,18.55454093310982,1324.614292010665,3335.0534861509072
1786827017,20,,Aggregated,11.700000,0.000000,97,140,170,200,310,430,560,900,1100,1300,1300,1059,0,97,146.42977689078907,18.55454093310982,1324.614292010665,3330.7554296506137
1786827018,20,,Aggregated,11.800000,0.000000,97,140,170,200,310,430,560,900,1100,1300,1300,1068,0,96,145.86406142447817,18.55454093310982,1324.614292010665,3330.001872659176
1786827019,20,,Aggregated,11.800000,0.000000,96,130,170,200,310,430,560,900,1100,1300,1300,1080,0,95,144.90106687708587,18.55454093310982,1324.614292010665,3331.6027777777776
1786827020,20,,Aggregated,11.200000,0.000000,95,130,170,200,310,430,560,900,1100,1300,1300,1099,0,95,144.06547814313564,18.55454093310982,1324.614292010665,3320.329390354868
1786827021,20,,Aggregated,11.200000,0.000000,94,130,170,200,310,430,560,890,1100,1300,1300,1108,0,94,143.2464795994248,18.55454093310982,1324.614292010665,3307.080324909747
1786827022,20,,Aggregated,10.900000,0.000000,93,130,170,190,310,430,560,890,1100,1300,1300,1118,0,93,142.37469940717884,18.55454093310982,1324.614292010665,3308.633273703041
1786827023,20,,Aggregated,12.100000,0.000000,92,130,170,190,300,420,560,890,1100,1300,1300,1135,0,92,141.08469407238263,18.55454093310982,1324.614292010665,3305.8942731277534
1786827024,20,,Aggregated,11.500000,0.000000,91,130,170,190,300,420,560,890,1100,1300,1300,1144,0,91,140.34562104903048,18.55454093310982,1324.614292010665,3305.2902097902097
1786827025,20,,Aggregated,12.500000,0.000000,90,130,160,190,300,420,550,890,1100,1300,1300,1156,0,90,139.5163655752972,18.55454093310982,1324.614292010665,3298.2370242214533
1786827026,20,,Aggregated,12.100000,0.000000,89,130,160,190,300,420,550,890,1100,1300,1300,1166,0,88,138.80810236273172,18.2319589657709,1324.614292010665,3303.180960548885
1786827027,20,,Aggregated,12.300000,0.000000,88,130,160,190,300,420,550,890,1100,1300,1300,1180,0,87,137.71042890167968,18.2319589657709,1324.614292010665,3308.650847457627
1786827028,20,,Aggregated,11.800000,0.000000,87,130,160,190,290,420,550,890,1100,1300,1300,1184,0,87,137.43495236741256,18.2319589657709,1324.614292010665,3321.5869932432433
1786827029,20,,Aggregated,12.300000,0.000000,86,130,160,190,290,420,550,890,1100,1300,1300,1200,0,86,136.512871683517,18.2319589657709,1324.614292010665,3319.5425
1786827030,20,,Aggregated,11.600000,0.000000,86,130,160,180,290,420,540,690,1100,1300,1300,1211,0,86,135.87291265672886,18.2319589657709,1324.614292010665,3307.626754748142
1786827031,20,,Aggregated,12.100000,0.000000,85,130,160,190,290,420,540,690,1100,1300,1300,1225,0,85,135.4812929432421,18.2319589657709,1324.614292010665,3311.1477551020407
1786827032,20,,Aggregated,11.600000,0.000000,85,120,160,180,290,420,540,690,1100,1300,1300,1236,0,85,134.90806022573423,18.2319589657709,1324.614292010665,3299.1593851132684
1786827033,20,,Aggregated,11.500000,0.000000,85,120,160,180,280,410,540,690,1100,1300,1300,1247,0,85,134.32567567277383,18.06770800612867,1324.614292010665,3307.6527666399356
1786827034,20,,Aggregated,11.400000,0.000000,84,120,150,180,280,410,540,690,1100,1300,1300,1255,0,84,133.78012033561578,18.06770800612867,1324.614292010665,3320.3322709163344
1786827035,20,,Aggregated,11.500000,0.000000,84,120,150,180,280,410,540,690,1100,1300,1300,1270,0,84,133.10547842988817,18.06770800612867,1324.614292010665,3320.6086614173228
1786827036,20,,Aggregated,11.100000,0.000000,83,120,150,180,280,410,540,690,1100,1300,1300,1280,0,83,132.43868022727838,18.06770800612867,1324.614292010665,3322.75
1786827037,20,,Aggregated,10.900000,0.000000,83,120,150,180,280,410,540,690,1100,1300,1300,1285,0,83,132.15617424118105,18.06770800612867,1324.614292010665,3326.823346303502
1786827038,20,,Aggregated,11.500000,0.000000,83,120,150,180,280,410,540,680,1100,1300,1300,1305,0,83,131.8393815631739,18.06770800612867,1324.614292010665,3326.431417624521
1786827039,20,,Aggregated,10.400000,0.000000,83,120,150,180,280,410,540,680,1100,1300,1300,1316,0,83,131.13764902029405,18.06770800612867,1324.614292010665,3316.4726443768996
1786827040,20,,Aggregated,12.000000,0.000000,83,120,150,180,280,400,540,680,1100,1300,1300,1326,0,83,130.5635591287961,18.06770800612867,1324.614292010665,3299.870286576169
1786827041,20,,Aggregated,11.400000,0.000000,82,120,150,180,270,400,540,680,1100,1300,1300,1344,0,82,129.711104344183,18.06770800612867,1324.614292010665,3282.7633928571427
1786827042,20,,Aggregated,11.400000,0.000000,82,120,150,180,270,400,530,680,1100,1300,1300,1358,0,81,128.91548685909527,18.06770800612867,1324.614292010665,3280.2172312223856
1786827043,20,,Aggregated,11.600000,0.000000,81,120,140,180,270,400,530,680,1100,1300,1300,1371,0,81,128.1757124287486,18.06770800612867,1324.614292010665,3283.4420131291026
1786827044,20,,Aggregated,12.100000,0.000000,81,110,140,170,260,400,530,680,1100,1300,1300,1381,0,81,127.61699625047815,18.06770800612867,1324.614292010665,3274.842867487328
1786827045,20,,Aggregated,12.100000,0.000000,80,110,140,170,260,400,530,680,1100,1300,1300,1395,0,80,127.04941812029783,18.06770800612867,1324.614292010665,3258.9827956989247
1786827046,20,,Aggregated,12.400000,0.000000,80,110,140,170,260,400,530,670,1100,1300,1300,1405,0,80,127.21767546468186,18.06770800612867,1324.614292010665,3278.6298932384343
1786827047,20,,Aggregated,12.700000,0.000000,80,110,140,170,260,400,530,670,1100,1300,1300,1410,0,80,127.09323338229632,18.06770800612867,1324.614292010665,3288.1787234042554
1786827048,20,,Aggregated,12.600000,0.000000,81,120,140,170,260,390,530,670,1100,1300,1300,1426,0,81,127.16322629162283,18.06770800612867,1324.614292010665,3300.20476858345
1786827049,20,,Aggregated,12.600000,0.000000,81,120,140,170,260,390,530,670,1100,1300,1300,1439,0,81,126.89690996659434,18.06770800612867,1324.614292010665,3300.630298818624
1786827050,20,,Aggregated,12.000000,0.000000,81,110,140,170,260,390,530,670,1100,1300,1300,1456,0,81,126.20169074912006,18.06770800612867,1324.614292010665,3275.4526098901097
1786827051,20,,Aggregated,12.400000,0.000000,80,110,140,170,260,390,530,670,1100,1300,1300,1465,0,80,125.7682231963698,18.06770800612867,1324.614292010665,3284.190443686007
1786827052,20,,Aggregated,12.700000,0.000000,81,110,140,170,260,390,530,670,1100,1300,1300,1480,0,81,125.79933745980048,18.06770800612867,1324.614292010665,3285.489864864865
